"parameter","cat1","cat2","mann_whitney_cat1_cat2"
"asc_cmax","894.6 (IQR 725.2 - 1014.2)","675.1 (IQR 651.3 - 861.7)",0.31
"asc_auc","1538.2 (IQR 1161.8 - 1634.5)","1260.2 (IQR 1230 - 1515.8)",0.937
"asc_auc_30_90","703.4 (IQR 532.7 - 766.5)","524.1 (IQR 492.2 - 665.4)",0.699
"asc_auc_inf","2487.7 (IQR 1904.9 - 2684.7)","2448 (IQR 2221.8 - 2821.8)",0.818
"asc_ke","0.6 (IQR 0.6 - 0.7)","0.6 (IQR 0.6 - 0.7)",1
"asc_t12","1.1 (IQR 1 - 1.2)","1.1 (IQR 1 - 1.2)",1
"asc_Cl","5.7 (IQR 5.2 - 7.5)","5.2 (IQR 4.5 - 5.8)",0.24
"asc_V","10.2 (IQR 8.5 - 12.5)","8.8 (IQR 6.8 - 9.4)",0.24
"nac_cmax","748.2 (IQR 634.3 - 775)","975.1 (IQR 942.1 - 1003.7)",0.004
"nac_auc","1042.9 (IQR 759.4 - 1158.2)","1969.4 (IQR 1865.5 - 2103.6)",0.002
"nac_auc_30_90","510.8 (IQR 352.6 - 567.8)","839.3 (IQR 815.8 - 898.9)",0.002
"nac_auc_inf","1642 (IQR 1377.2 - 2249.2)","4335.7 (IQR 4180.7 - 4722.4)",0.002
"nac_ke","0.5 (IQR 0.4 - 0.6)","0.4 (IQR 0.4 - 0.4)",0.485
"nac_t12","1.5 (IQR 1.2 - 2)","1.8 (IQR 1.7 - 1.9)",0.485
"nac_Cl","7.5 (IQR 5.6 - 9)","5.7 (IQR 5.2 - 5.9)",0.24
"nac_V","15 (IQR 10.2 - 22.1)","14.3 (IQR 13.7 - 15)",0.818
"dfo_cmax","18.9 (IQR 14.5 - 19.6)","9.5 (IQR 8.3 - 13.1)",0.093
"dfo_auc","17.1 (IQR 15.3 - 17.5)","12.1 (IQR 9.1 - 13.6)",0.18
"dfo_auc_30_90","9.4 (IQR 9.1 - 9.7)","7.2 (IQR 5.7 - 9.8)",0.699
"dfo_auc_inf","20 (IQR 16.7 - 20.9)","14.8 (IQR 11.9 - 18.8)",0.589
"dfo_ke","1.4 (IQR 1.1 - 3.9)","2.3 (IQR 1.1 - 6.5)",0.699
"dfo_t12","0.5 (IQR 0.2 - 0.6)","0.4 (IQR 0.1 - 0.6)",0.699
"dfo_Cl","89.2 (IQR 85.2 - 107.7)","192.1 (IQR 153.7 - 243.4)",0.015
"dfo_V","63 (IQR 32.1 - 117.5)","126.4 (IQR 34.1 - 227.2)",0.485
